NSN,First_Name,Surname,DOB,Gender,Ethnicity,Citizenship_Status,Residency_Status,Faculty_Home,Enrolment_Status,Year_of_Study,Disability_Flag,First_in_Family
1000000036,Noah,Nguyen,2004-02-11,Male,Asian,International,International,Arts & Social Sciences,Enrolled,4,N,Y
1000000037,Ava,Latu,1972-11-18,Female,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,N
1000000038,Grace,Fono,1982-12-10,Female,Māori,NZ Permanent Resident,Domestic,Arts & Social Sciences,Withdrawn,3,N,N
1000000039,Finn,Li,1996-11-11,Male,Other,NZ Citizen,Domestic,Science & Technology,Completed,2,N,N
1000000040,Lucy,Thompson,2004-02-24,Female,NZ European,NZ Permanent Resident,Domestic,Health Sciences,Enrolled,1,N,N
1000000041,Lin,Brown,1995-03-17,Female,MELAA,International,International,Arts & Social Sciences,Withdrawn,3,N,N
1000000042,Chloe,Sullivan,1999-09-23,Female,Other,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,N
1000000043,Ben,Fono,1987-07-30,Male,Unknown/Not Stated,International,International,Business & Economics,Enrolled,4,N,N
1000000044,Raj,Thomas,1988-06-19,Male,Asian,International,International,Education,Enrolled,2,N,N
1000000045,Oscar,Patel,2001-11-27,Male,Asian,International,International,Business & Economics,Enrolled,3,N,N
1000000046,Olivia,Taylor,1997-11-20,Female,Asian,International,International,Arts & Social Sciences,Enrolled,2,N,Y
1000000047,Charlotte,Latu,1997-09-06,Female,Other,International,International,Science & Technology,Enrolled,1,N,Y
1000000048,Amir,Fraser,1975-11-27,Male,Asian,NZ Permanent Resident,Domestic,Foundation Studies,Enrolled,1,N,Y
1000000049,Leilani,Costa,1986-01-12,Female,Pacific Peoples,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,1,N,Y
1000000050,Emma,Singh,1989-09-12,Female,Unknown/Not Stated,NZ Citizen,Domestic,Education,Enrolled,1,N,Y
1000000051,Matiu,Faleolo,2005-06-09,Male,Māori,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,N
1000000052,Mere,Māhaki,1991-05-13,Female,Other,International,International,Arts & Social Sciences,Enrolled,1,N,Y
1000000053,Riley,Costa,1980-09-05,Not Stated,Māori,NZ Citizen,Domestic,Business & Economics,Enrolled,3,N,N
1000000054,Rangi,Murphy,2001-03-23,Male,Māori,NZ Citizen,Domestic,Science & Technology,Enrolled,1,N,N
1000000055,Mere,Parata,1988-07-14,Female,NZ European,NZ Citizen,Domestic,Education,Withdrawn,1,N,Y
1000000056,Olivia,Fitzgerald,2002-02-21,Female,Other,International,International,Science & Technology,Enrolled,1,N,N
1000000057,Tupou,Li,1989-10-27,Male,Māori,NZ Citizen,Domestic,Business & Economics,Enrolled,2,N,N
1000000058,Alex,Stewart,1989-09-18,Non-binary / Gender Diverse,NZ European,NZ Permanent Resident,Domestic,Science & Technology,Withdrawn,2,N,N
1000000059,Blake,Ioane,1981-01-23,Non-binary / Gender Diverse,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,1,N,N
1000000060,Hine,Seu,1991-01-26,Female,NZ European,NZ Permanent Resident,Domestic,Arts & Social Sciences,Withdrawn,3,N,Y
1000000061,Aisha,Kumar,1985-11-27,Female,Other,International,International,Business & Economics,Enrolled,2,N,N
1000000062,Oliver,Fraser,1997-01-30,Male,Māori,NZ Permanent Resident,Domestic,Arts & Social Sciences,Enrolled,1,N,N
1000000063,Maria,Tuilagi,1974-07-18,Female,NZ European,NZ Citizen,Domestic,Business & Economics,Withdrawn,4,N,N
1000000064,Teuila,Zhang,1985-10-25,Female,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,3,N,N
1000000065,Lin,Ferreira,1982-11-21,Female,Other,NZ Permanent Resident,Domestic,Health Sciences,Completed,4,N,N
1000000066,Finn,Wang,1993-08-04,Male,Other,International,International,Arts & Social Sciences,Enrolled,1,N,Y
1000000067,Lucy,Smith,2001-12-10,Female,Other,International,International,Business & Economics,Completed,1,N,Y
1000000068,Leo,Ferreira,1983-01-31,Male,Māori,NZ Permanent Resident,Domestic,Business & Economics,Completed,2,N,N
1000000069,Ngaio,McCarthy,2000-11-22,Female,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,1,N,Y
1000000070,Fatima,Thompson,1997-04-10,Female,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Completed,2,N,N
1000000071,Aroha,Patel,1988-07-29,Female,Māori,NZ Citizen,Domestic,Science & Technology,Enrolled,4,N,Y
1000000072,Blake,Anderson,1998-12-25,Not Stated,Asian,International,International,Science & Technology,Enrolled,4,N,N
1000000073,Rangi,O'Brien,1976-02-18,Male,Asian,NZ Permanent Resident,Domestic,Arts & Social Sciences,Enrolled,3,N,Y
1000000074,Sam,McCarthy,2005-01-29,Male,Asian,NZ Citizen,Domestic,Business & Economics,Enrolled,2,N,N
1000000075,Sam,Chen,1973-10-31,Male,Other,NZ Citizen,Domestic,Business & Economics,Withdrawn,1,N,N
1000000076,Morgan,Parata,1993-09-27,Non-binary / Gender Diverse,Asian,International,International,Business & Economics,Withdrawn,1,N,N
1000000077,Hemi,Stewart,1992-11-10,Male,NZ European,NZ Permanent Resident,Domestic,Arts & Social Sciences,Completed,2,N,Y
1000000078,Whina,Williams,2005-02-01,Female,Unknown/Not Stated,NZ Citizen,Domestic,Education,Enrolled,1,N,N
1000000079,Matiu,Zhang,2000-10-30,Male,Māori,NZ Citizen,Domestic,Arts & Social Sciences,Completed,1,N,Y
1000000080,Sage,Ferreira,1985-06-10,Non-binary / Gender Diverse,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,N
1000000081,Oliver,Walker,1971-04-01,Male,NZ European,NZ Permanent Resident,Domestic,Business & Economics,Withdrawn,1,N,N
1000000082,Amelia,Harris,1998-10-05,Female,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,3,Y,Y
1000000083,Mere,Walker,1992-10-13,Female,Asian,International,International,Business & Economics,Enrolled,2,N,N
1000000084,Ben,Sullivan,1974-02-10,Male,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Completed,1,N,N
1000000085,Jack,O'Brien,1998-06-05,Male,NZ European,NZ Permanent Resident,Domestic,Business & Economics,Enrolled,2,N,N
1000000086,Teuila,Campbell,1999-08-07,Female,Pacific Peoples,NZ Citizen,Domestic,Arts & Social Sciences,Withdrawn,3,N,N
1000000087,Ngaio,Seu,1980-02-03,Female,Pacific Peoples,NZ Citizen,Domestic,Health Sciences,Enrolled,1,N,Y
1000000088,Ethan,Walker,1989-06-10,Male,Asian,International,International,Business & Economics,Enrolled,1,N,N
1000000089,Ethan,Anderson,1970-10-29,Male,NZ European,NZ Permanent Resident,Domestic,Education,Enrolled,1,N,N
1000000090,Lin,Murphy,1972-07-01,Female,Māori,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,3,Y,Y
1000000091,Mason,Wilson,2001-08-17,Male,Unknown/Not Stated,International,International,Business & Economics,Enrolled,2,N,N
1000000092,Raj,Taylor,2004-04-18,Male,NZ European,NZ Citizen,Domestic,Foundation Studies,Enrolled,3,N,N
1000000093,Hemi,Ioane,1980-05-17,Male,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,Y
1000000094,Emma,Walker,1991-02-12,Female,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,3,N,N
1000000095,Lily,Williams,1980-07-03,Female,NZ European,NZ Permanent Resident,Domestic,Education,Enrolled,1,N,N
1000000096,Quinn,Murphy,1977-07-25,Non-binary / Gender Diverse,Other,NZ Permanent Resident,Domestic,Business & Economics,Enrolled,3,N,N
1000000097,Isabella,Martin,2002-10-19,Female,Māori,NZ Citizen,Domestic,Education,Enrolled,1,N,N
1000000098,Emma,Thompson,1987-04-24,Female,Other,International,International,Business & Economics,Enrolled,1,N,N
1000000099,Raj,Seu,1986-01-31,Male,Asian,International,International,Education,Enrolled,2,N,Y
1000000100,Mere,Chen,1989-06-01,Female,Pacific Peoples,NZ Citizen,Domestic,Science & Technology,Completed,1,N,N
1000000101,William,Seu,1968-11-14,Male,Māori,NZ Citizen,Domestic,Foundation Studies,Completed,2,N,N
1000000102,Olivia,Fraser,1991-11-28,Female,Asian,International,International,Education,Enrolled,2,N,N
1000000103,Ngaio,Costa,1994-02-14,Female,Asian,International,International,Education,Withdrawn,4,N,Y
1000000104,Mason,Walker,1968-07-18,Male,Other,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,N
1000000105,Fatima,Liu,1975-01-10,Female,NZ European,NZ Permanent Resident,Domestic,Education,Enrolled,4,N,N
1000000106,Sina,Ferreira,1974-06-25,Female,Pacific Peoples,NZ Citizen,Domestic,Business & Economics,Completed,2,N,Y
1000000107,Rangi,Zhang,1983-07-31,Male,Pacific Peoples,NZ Citizen,Domestic,Business & Economics,Completed,2,N,N
1000000108,William,Chen,1970-12-02,Male,NZ European,NZ Citizen,Domestic,Foundation Studies,Enrolled,2,N,N
1000000109,Leo,Chen,1989-05-19,Male,Other,International,International,Business & Economics,Enrolled,1,N,Y
1000000110,Oliver,Nguyen,1985-06-28,Male,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,2,N,Y
1000000111,Finn,Harris,1999-06-19,Male,NZ European,NZ Citizen,Domestic,Education,Withdrawn,3,N,N
1000000112,Emma,Harris,1971-09-07,Female,Māori,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,Y
1000000113,Henry,O'Brien,1973-07-06,Male,Māori,NZ Citizen,Domestic,Business & Economics,Enrolled,3,N,Y
1000000114,Caleb,Chen,2002-10-11,Male,Māori,NZ Citizen,Domestic,Education,Withdrawn,2,Y,N
1000000115,Ethan,Wilson,1985-03-10,Male,Asian,NZ Citizen,Domestic,Science & Technology,Enrolled,3,N,N
1000000116,Sione,Patel,1976-08-24,Male,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,3,N,Y
1000000117,Moana,Ferreira,1977-03-06,Female,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,1,N,Y
1000000118,Lily,Nguyen,1983-01-20,Female,Unknown/Not Stated,NZ Permanent Resident,Domestic,Foundation Studies,Enrolled,2,N,N
1000000119,Quinn,Ferreira,1997-01-25,Not Stated,Asian,International,International,Arts & Social Sciences,Enrolled,1,N,N
1000000120,Ben,Ioane,1980-02-23,Male,Māori,NZ Citizen,Domestic,Business & Economics,Withdrawn,1,N,N
1000000121,Sione,Nguyen,2005-05-03,Male,NZ European,NZ Citizen,Domestic,Business & Economics,Withdrawn,2,N,N
1000000122,Whina,Santos,1983-12-21,Female,NZ European,NZ Permanent Resident,Domestic,Foundation Studies,Enrolled,4,Y,Y
1000000123,Aisha,Tuilagi,1976-04-02,Female,NZ European,NZ Citizen,Domestic,Foundation Studies,Withdrawn,2,N,N
1000000124,Wei,Ferreira,1989-02-07,Male,Asian,NZ Citizen,Domestic,Science & Technology,Enrolled,4,N,N
1000000125,Oliver,Kumar,2006-01-03,Male,Māori,NZ Citizen,Domestic,Science & Technology,Enrolled,3,N,N
1000000126,Ava,Zhang,1971-06-08,Female,NZ European,NZ Citizen,Domestic,Education,Enrolled,1,N,N
1000000127,Whina,Liu,1975-06-16,Female,Asian,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,1,N,N
1000000128,Lin,Faleolo,1998-08-22,Female,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,N
1000000129,Ming,Williams,2006-05-26,Male,NZ European,NZ Citizen,Domestic,Education,Enrolled,2,N,N
1000000130,Mia,Singh,1991-07-25,Female,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,3,N,N
1000000131,Jack,Ioane,1982-05-07,Male,Asian,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,Y
1000000132,Lily,Murphy,1981-03-07,Female,Unknown/Not Stated,NZ Citizen,Domestic,Business & Economics,Completed,3,N,N
1000000133,Ruby,Fono,1976-07-02,Female,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,2,N,N
1000000134,Lucas,Ferreira,2007-05-12,Male,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Completed,3,N,N
1000000135,Wiremu,Wang,1974-11-26,Male,Asian,NZ Citizen,Domestic,Science & Technology,Enrolled,4,N,Y
1000000136,Miguel,Harris,1999-09-03,Male,Asian,International,International,Arts & Social Sciences,Enrolled,1,N,N
1000000137,Aisha,Seu,1996-12-19,Female,Unknown/Not Stated,NZ Citizen,Domestic,Arts & Social Sciences,Withdrawn,1,N,N
1000000138,Fatima,Thomas,1980-09-17,Female,NZ European,NZ Citizen,Domestic,Business & Economics,Completed,4,N,N
1000000139,Ming,Singh,1996-10-13,Male,Māori,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,3,N,N
1000000140,Whina,Zhang,1993-12-11,Female,Māori,NZ Citizen,Domestic,Business & Economics,Enrolled,2,N,N
1000000141,Blake,Santos,1983-02-02,Not Stated,Other,NZ Permanent Resident,Domestic,Arts & Social Sciences,Enrolled,2,N,N
1000000142,Olivia,Faleolo,1989-02-08,Female,Asian,International,International,Education,Completed,1,N,Y
1000000143,Finn,Faleolo,1989-05-09,Male,Māori,NZ Permanent Resident,Domestic,Arts & Social Sciences,Enrolled,4,N,N
1000000144,Maria,Taylor,1994-11-25,Female,MELAA,International,International,Business & Economics,Withdrawn,1,N,Y
1000000145,Oliver,Te Hau,2003-07-30,Male,MELAA,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,1,N,N
1000000146,Quinn,Zhang,1976-11-11,Non-binary / Gender Diverse,Pacific Peoples,NZ Citizen,Domestic,Business & Economics,Withdrawn,1,N,Y
1000000147,James,Zhang,2001-06-19,,Unknown/Not Stated,International,International,Arts & Social Sciences,Enrolled,2,N,N
1000000148,Ben,Latu,1996-11-18,Male,Unknown/Not Stated,International,International,Arts & Social Sciences,Enrolled,2,N,N
1000000149,Leilani,Patel,1991-04-06,Female,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,Y
1000000150,Lily,Sullivan,2001-04-04,Female,Unknown/Not Stated,NZ Permanent Resident,Domestic,Health Sciences,Enrolled,4,Y,N
1000000151,Ming,Smith,1990-08-10,Male,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,3,N,Y
1000000152,Max,Tuilagi,1983-09-01,Male,NZ European,NZ Permanent Resident,Domestic,Business & Economics,Completed,2,N,N
1000000153,Oscar,Ngāta,1991-07-27,Male,Asian,NZ Citizen,Domestic,Arts & Social Sciences,Completed,1,N,N
1000000154,William,Park,1973-04-29,Male,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Withdrawn,2,N,N
1000000155,Mei,Zhang,1977-09-28,Female,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,3,N,N
1000000156,Maria,Wilson,1989-06-10,Female,Unknown/Not Stated,International,International,Business & Economics,Enrolled,4,Y,N
1000000157,Skyler,Nguyen,1993-12-29,Not Stated,Asian,International,International,Education,Completed,4,N,N
1000000158,Alex,Jones,1987-11-16,Non-binary / Gender Diverse,Pacific Peoples,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,2,N,Y
1000000159,Teuila,Sullivan,1980-09-01,Female,Asian,NZ Citizen,Domestic,Education,Completed,1,N,Y
1000000160,Mere,Li,1979-03-16,Female,Māori,NZ Citizen,Domestic,Education,Withdrawn,3,N,N
1000000161,Jack,Te Hau,1988-04-28,Male,Unknown/Not Stated,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,2,N,N
1000000162,Chloe,Brown,1984-08-16,Female,Pacific Peoples,NZ Citizen,Domestic,Arts & Social Sciences,Withdrawn,1,N,Y
1000000163,Matiu,Patel,2003-09-23,Male,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,Y
1000000164,Wiremu,Ferreira,1995-06-13,Male,NZ European,NZ Citizen,Domestic,Health Sciences,Enrolled,2,N,Y
1000000165,Isabella,Fono,2006-03-20,Female,Unknown/Not Stated,International,International,Arts & Social Sciences,Completed,1,N,N
1000000166,Miguel,Tuilagi,1982-11-16,Male,Māori,NZ Citizen,Domestic,Science & Technology,Enrolled,1,N,N
1000000167,Ava,Williams,1971-03-24,Female,Asian,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,N
1000000168,Moana,Te Hau,1975-10-06,Female,Pacific Peoples,NZ Citizen,Domestic,Science & Technology,Enrolled,1,N,N
1000000169,James,Walker,1972-11-06,Male,NZ European,NZ Permanent Resident,Domestic,Education,Completed,4,N,N
1000000170,Aroha,Zhang,2001-08-19,Female,Asian,International,International,Education,Enrolled,1,N,N
1000000171,Aroha,Ferreira,1971-12-17,Female,NZ European,NZ Permanent Resident,Domestic,Arts & Social Sciences,Enrolled,1,N,Y
1000000172,Emma,Murphy,1990-03-03,Female,Other,International,International,Business & Economics,Enrolled,2,N,N
1000000173,Leo,Fitzgerald,2005-05-20,Male,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,N
1000000174,Leo,Anderson,1974-06-23,Male,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Completed,3,N,Y
1000000175,James,Seu,2006-03-22,Male,Asian,International,International,Arts & Social Sciences,Withdrawn,3,N,Y
1000000176,Jack,Wang,1998-07-21,Male,Pacific Peoples,NZ Citizen,Domestic,Education,Enrolled,4,Y,N
1000000177,Reece,Jones,1986-02-22,Non-binary / Gender Diverse,Other,International,International,Arts & Social Sciences,Enrolled,1,N,N
1000000178,Lucas,Te Hau,2003-05-26,Male,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,3,N,N
1000000179,Sina,Faleolo,2001-05-01,Female,NZ European,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,Y
1000000180,Lily,Smith,1988-12-11,Female,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,4,N,N
1000000181,Charlotte,Fono,1989-10-31,Female,NZ European,NZ Citizen,Domestic,Health Sciences,Enrolled,1,N,N
1000000182,Logan,Anderson,1999-02-03,Male,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,3,N,N
1000000183,Isabella,O'Brien,1994-11-06,Female,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Completed,4,N,N
1000000184,Moana,Li,1984-05-14,Female,Other,NZ Citizen,Domestic,Science & Technology,Enrolled,4,N,N
1000000185,Oscar,Campbell,2002-12-10,Male,Pacific Peoples,NZ Citizen,Domestic,Education,Enrolled,1,N,Y
1000000186,Lily,Ferreira,1974-07-25,Female,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,4,N,N
1000000187,James,Fitzgerald,2004-09-21,Male,Unknown/Not Stated,NZ Citizen,Domestic,Foundation Studies,Enrolled,2,N,N
1000000188,Leilani,Santos,1971-09-21,Female,Pacific Peoples,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,N
1000000189,Mia,Zhang,2002-05-09,Female,Asian,NZ Permanent Resident,Domestic,Business & Economics,Withdrawn,1,N,N
1000000190,Logan,Seu,2003-02-04,Male,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,Y
1000000191,Lin,Liu,1992-03-13,Female,Other,International,International,Arts & Social Sciences,Enrolled,1,N,N
1000000192,Maria,Ngāta,1994-02-17,Female,Asian,NZ Permanent Resident,Domestic,Health Sciences,Withdrawn,1,N,N
1000000193,Amelia,Kumar,1973-08-21,Female,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,2,N,N
1000000194,Lucas,Murphy,1970-06-02,Male,Pacific Peoples,NZ Citizen,Domestic,Education,Enrolled,1,N,N
1000000195,Liam,Thompson,1975-08-23,Male,Māori,NZ Citizen,Domestic,Arts & Social Sciences,Completed,4,N,Y
1000000196,Leo,Ioane,2006-10-31,Male,NZ European,NZ Citizen,Domestic,Health Sciences,Withdrawn,4,N,N
1000000197,Wei,Jones,1993-02-10,Female,NZ European,NZ Permanent Resident,Domestic,Health Sciences,Enrolled,1,N,N
1000000198,Noah,Ferreira,1994-10-05,Male,Other,International,International,Arts & Social Sciences,Enrolled,3,N,N
1000000199,Rangi,Nguyen,1991-01-13,Male,Asian,NZ Citizen,Domestic,Science & Technology,Enrolled,3,N,N
1000000200,James,Murphy,1999-03-25,Male,Asian,NZ Citizen,Domestic,Education,Withdrawn,2,N,N
1000000201,Riley,Walker,1981-06-12,Not Stated,Unknown/Not Stated,NZ Citizen,Domestic,Arts & Social Sciences,Completed,1,N,Y
1000000202,Wei,McCarthy,1989-08-23,Female,NZ European,NZ Permanent Resident,Domestic,Education,Enrolled,2,N,Y
1000000203,Jack,Sato,2007-05-20,Male,Asian,NZ Citizen,Domestic,Science & Technology,Enrolled,3,N,Y
1000000204,Isabella,Tuilagi,1985-10-04,Female,Māori,NZ Citizen,Domestic,Science & Technology,Enrolled,2,N,N
1000000205,Tama,Thomas,1996-11-25,Male,NZ European,NZ Citizen,Domestic,Foundation Studies,Completed,2,N,N
1000000206,Noah,Taylor,1994-08-03,Male,Unknown/Not Stated,International,International,Business & Economics,Enrolled,2,N,N
1000000207,Hine,Walker,1970-03-22,Female,Māori,NZ Citizen,Domestic,Business & Economics,Enrolled,1,N,Y
1000000208,Leilani,Anderson,2003-01-28,Female,Asian,International,International,Arts & Social Sciences,Enrolled,2,N,N
1000000209,Priya,Martin,1979-01-15,Female,Pacific Peoples,NZ Permanent Resident,Domestic,Arts & Social Sciences,Enrolled,1,N,N
1000000210,Ngaio,Sato,1994-01-11,Female,Unknown/Not Stated,International,International,Business & Economics,Enrolled,1,N,Y
1000000211,Tama,Sullivan,1988-03-27,Male,Māori,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,3,N,Y
1000000212,Aisha,Wilson,1990-07-04,Female,Unknown/Not Stated,International,International,Arts & Social Sciences,Completed,1,N,N
1000000213,Hine,Smith,1991-03-22,Female,NZ European,NZ Citizen,Domestic,Business & Economics,Enrolled,3,N,N
1000000214,Lin,Ferreira,1998-02-16,Female,NZ European,NZ Citizen,Domestic,Education,Enrolled,4,N,Y
1000000215,Wiremu,Fono,1980-03-12,Male,NZ European,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,2,N,N
1000000216,Whina,Campbell,2007-04-14,Female,Māori,NZ Citizen,Domestic,Business & Economics,Enrolled,2,N,Y
1000000217,Tama,Latu,1980-02-24,Male,Māori,NZ Citizen,Domestic,Education,Enrolled,4,N,N
1000000218,Sophie,Māhaki,2000-09-17,Female,Pacific Peoples,NZ Citizen,Domestic,Arts & Social Sciences,Enrolled,3,Y,N
1000000219,Whina,Thompson,2004-09-26,Female,Asian,NZ Citizen,Domestic,Science & Technology,Enrolled,3,N,Y
1000000220,Mei,Stewart,2005-04-06,Female,Asian,International,International,Arts & Social Sciences,Enrolled,1,N,N
1000000221,Tama,Chen,2000-02-09,Male,Asian,International,International,Science & Technology,Enrolled,2,N,N
1000000222,Oliver,Harris,2006-12-09,Male,NZ European,NZ Citizen,Domestic,Education,Enrolled,2,N,Y
1000000223,Mei,Te Hau,1980-11-03,Female,Unknown/Not Stated,NZ Citizen,Domestic,Education,Completed,1,N,Y
1000000224,Leilani,Taylor,1970-05-28,Female,Māori,NZ Citizen,Domestic,Education,Enrolled,2,N,Y
1000000225,Isabella,Li,1987-01-30,Female,NZ European,NZ Permanent Resident,Domestic,Science & Technology,Enrolled,4,N,N
