NSN,Faculty,Citizenship_Status,Ethnicity,Gender,Year_of_Study,Disability_Flag,First_in_Family,Teaching_Score,Support_Score,Sense_of_Belonging,Admin_Experience,Retention_Likelihood,Survey_Response_Flag,Survey_Year,Free_Text_Theme
1000003050,Health Sciences,NZ Permanent Resident,Other,Male,2,N,Y,6.5,6.0,2.6,6.0,5.0,Y,2024,Would appreciate more feedback on assessments
1000003315,Arts & Social Sciences,NZ Permanent Resident,NZ European,Female,1,N,N,5.6,6.1,3.3,3.5,5.8,Y,2024,Lecturers were approachable and knowledgeable
1000003447,Arts & Social Sciences,NZ Citizen,NZ European,Female,1,N,Y,5.0,4.5,9.8,10.0,6.3,Y,2024,Would appreciate more feedback on assessments
1000005586,Education,NZ Citizen,NZ European,Male,3,N,N,8.1,10.0,4.7,5.8,8.0,Y,2024,Campus facilities are excellent
1000002445,Science & Technology,NZ Permanent Resident,NZ European,Female,3,N,Y,7.6,6.3,6.3,3.7,6.1,Y,2024,Strong industry connections in my programme
1000000096,Business & Economics,NZ Permanent Resident,Other,Non-binary / Gender Diverse,3,N,N,7.6,5.8,7.3,8.2,7.2,Y,2024,Felt isolated during online delivery
1000003885,Education,NZ Citizen,Asian,Male,2,N,N,8.1,7.4,6.5,4.9,7.2,Y,2024,Scholarship support made a real difference
1000001487,Health Sciences,NZ Permanent Resident,NZ European,Female,4,N,N,7.4,10.0,9.3,7.0,8.2,Y,2024,Scholarship support made a real difference
1000000031,Education,NZ Citizen,NZ European,Male,2,N,N,6.0,9.2,7.0,7.2,6.7,Y,2024,Lecturers were approachable and knowledgeable
1000001321,Business & Economics,NZ Citizen,Māori,Male,2,N,N,8.6,7.4,3.8,6.8,6.5,Y,2024,Cultural events helped me feel included
1000005178,Arts & Social Sciences,NZ Citizen,NZ European,Female,3,N,Y,6.7,5.9,6.8,9.1,6.5,Y,2024,Course content felt outdated in places
1000004423,Arts & Social Sciences,International,Asian,Male,1,N,Y,7.0,6.8,5.4,6.9,6.4,Y,2024,Great sense of community in my programme
1000000401,Business & Economics,NZ Citizen,Pacific Peoples,Male,2,N,Y,6.8,6.6,4.2,8.8,6.3,Y,2024,Timetabling clashes made study difficult
1000005988,Education,NZ Citizen,NZ European,Female,1,N,Y,8.2,10.0,7.3,7.9,8.3,Y,2024,Great sense of community in my programme
1000003682,Arts & Social Sciences,International,MELAA,Male,2,N,Y,5.8,7.9,3.9,5.9,6.1,Y,2024,Great sense of community in my programme
1000004075,Science & Technology,International,Asian,Female,3,N,N,8.0,4.4,5.8,5.3,5.8,Y,2024,Cultural events helped me feel included
1000004322,Business & Economics,NZ Citizen,NZ European,Male,4,N,N,6.3,5.1,6.6,4.0,5.4,Y,2024,Timetabling clashes made study difficult
1000002996,Business & Economics,NZ Citizen,MELAA,Female,3,N,N,7.7,8.5,7.6,1.9,7.2,Y,2024,Course content felt outdated in places
1000005283,Arts & Social Sciences,NZ Citizen,Māori,Female,2,N,Y,6.9,7.0,8.8,5.2,7.3,Y,2024,Clear pathway to employment in my field
1000004139,Education,NZ Citizen,Māori,Male,1,N,Y,8.1,8.7,4.8,8.3,7.0,Y,2024,Timetabling clashes made study difficult
1000001498,Arts & Social Sciences,NZ Citizen,Pacific Peoples,Male,2,Y,N,5.6,6.1,5.9,8.2,6.2,Y,2024,Strong industry connections in my programme
1000004250,Education,NZ Citizen,NZ European,Male,1,N,N,6.6,6.0,6.9,7.9,6.7,Y,2024,Administrative processes were confusing
1000005409,Arts & Social Sciences,NZ Citizen,NZ European,Male,3,N,Y,8.7,7.7,8.0,7.4,7.7,Y,2024,Felt isolated during online delivery
1000006130,Arts & Social Sciences,NZ Citizen,Unknown/Not Stated,Female,2,N,Y,4.0,8.9,5.7,6.5,5.3,Y,2024,Administrative processes were confusing
1000003809,Science & Technology,International,Other,Female,2,N,N,5.2,4.3,4.7,7.3,4.0,Y,2024,Course content felt outdated in places
1000002802,Education,NZ Citizen,NZ European,Male,2,N,N,4.4,7.4,5.7,7.2,6.2,Y,2024,Would benefit from more career guidance
1000000239,Business & Economics,NZ Citizen,Other,Male,2,N,N,7.5,7.9,6.9,7.3,7.2,Y,2024,Strong industry connections in my programme
1000001297,Arts & Social Sciences,NZ Citizen,NZ European,Female,4,N,N,6.5,6.6,8.0,5.6,6.9,Y,2024,Great sense of community in my programme
1000005967,Arts & Social Sciences,International,Asian,Male,3,N,N,6.4,6.1,7.6,3.8,4.8,Y,2024,English language support was invaluable
1000000511,Arts & Social Sciences,NZ Citizen,Māori,Male,2,N,N,5.9,7.5,5.3,8.4,6.1,Y,2024,Workload felt unmanageable at times
1000000023,Business & Economics,NZ Citizen,NZ European,Male,4,N,N,9.2,6.8,5.0,5.2,6.5,Y,2024,Scholarship support made a real difference
1000005849,Arts & Social Sciences,NZ Citizen,Māori,Male,2,N,N,5.6,5.7,7.2,3.7,5.0,Y,2024,Campus facilities are excellent
1000002716,Business & Economics,NZ Citizen,NZ European,Male,1,N,N,8.0,6.5,3.2,8.1,6.3,Y,2024,Scholarship support made a real difference
1000005652,Arts & Social Sciences,NZ Citizen,NZ European,Female,1,N,Y,6.1,4.6,5.3,7.1,5.5,Y,2024,Cultural events helped me feel included
1000003288,Arts & Social Sciences,NZ Citizen,Asian,Female,2,N,N,7.3,8.4,5.9,3.5,7.2,Y,2024,Would benefit from more career guidance
1000001046,Education,NZ Citizen,NZ European,Female,1,Y,N,7.1,9.1,7.2,6.1,8.1,Y,2024,Support services were very helpful
1000003956,Education,International,Asian,Female,4,N,Y,10.0,7.4,6.5,4.7,7.1,Y,2024,Campus facilities are excellent
1000005755,Arts & Social Sciences,NZ Citizen,Māori,Female,2,N,Y,5.6,3.8,2.3,5.4,4.3,Y,2024,Library resources met my needs
1000002836,Education,NZ Citizen,Pacific Peoples,Male,1,N,N,6.3,7.9,5.1,6.7,6.1,Y,2024,Course content felt outdated in places
1000006279,Arts & Social Sciences,NZ Citizen,NZ European,Male,1,N,Y,8.3,4.5,6.5,10.0,7.4,Y,2024,Felt isolated during online delivery
1000003044,Arts & Social Sciences,International,MELAA,Female,1,N,N,6.9,7.2,6.0,4.8,5.7,Y,2024,Felt isolated during online delivery
1000005037,Science & Technology,NZ Citizen,NZ European,Male,4,N,Y,7.9,8.6,7.2,5.8,7.4,Y,2024,Library resources met my needs
1000002799,Science & Technology,NZ Citizen,Asian,Female,2,N,Y,8.3,4.0,5.9,2.5,5.9,Y,2024,Would benefit from more career guidance
1000001695,Science & Technology,NZ Permanent Resident,,Male,2,N,N,8.3,5.7,3.8,1.0,5.3,Y,2024,Cultural events helped me feel included
1000005028,Education,NZ Citizen,NZ European,Female,2,Y,Y,10.0,8.0,5.5,7.2,7.6,Y,2024,English language support was invaluable
1000003240,Arts & Social Sciences,NZ Citizen,Māori,Female,1,N,N,6.7,7.6,6.7,5.0,6.9,Y,2024,Strong industry connections in my programme
1000006416,Education,NZ Permanent Resident,Other,Female,2,N,Y,6.2,5.9,8.9,5.9,6.3,Y,2024,Lecturers were approachable and knowledgeable
1000004905,Arts & Social Sciences,NZ Citizen,Māori,Male,2,N,N,8.8,6.5,6.4,5.6,6.7,Y,2024,Workload felt unmanageable at times
1000002333,Business & Economics,NZ Citizen,Pacific Peoples,Male,2,N,N,7.9,4.2,7.1,8.5,6.1,Y,2024,Would appreciate more feedback on assessments
1000003410,Arts & Social Sciences,International,MELAA,Female,2,N,N,4.4,5.0,6.5,5.8,4.7,Y,2024,Timetabling clashes made study difficult
1000003286,Business & Economics,NZ Citizen,NZ European,Male,1,N,N,5.9,7.8,7.7,7.0,7.2,Y,2024,Timetabling clashes made study difficult
1000002910,Science & Technology,International,Other,Male,3,N,Y,7.4,10.0,5.8,4.9,6.3,Y,2024,Would benefit from more career guidance
1000000296,Health Sciences,NZ Citizen,Asian,Non-binary / Gender Diverse,3,N,N,7.4,7.5,6.6,4.8,7.3,Y,2024,Scholarship support made a real difference
1000001992,Business & Economics,NZ Citizen,Unknown/Not Stated,Female,1,N,Y,8.3,6.4,5.3,7.3,6.3,Y,2024,Workload felt unmanageable at times
1000004489,Business & Economics,NZ Citizen,Asian,Male,3,N,Y,7.2,7.1,4.9,6.7,6.9,Y,2024,Would appreciate more feedback on assessments
1000006034,Science & Technology,NZ Citizen,NZ European,Male,1,N,N,8.7,6.5,7.2,1.7,6.2,Y,2024,Cultural events helped me feel included
1000005015,Education,NZ Citizen,Māori,Male,1,Y,N,7.2,5.6,7.1,4.1,6.2,Y,2024,Enjoyed the hands-on learning approach
1000004481,Health Sciences,International,Asian,Male,2,N,N,5.8,7.4,9.3,5.5,6.1,Y,2024,Administrative processes were confusing
1000001352,Arts & Social Sciences,NZ Citizen,NZ European,Female,2,N,N,6.2,5.5,8.0,6.8,5.7,Y,2024,Great sense of community in my programme
1000003759,Science & Technology,NZ Permanent Resident,Asian,Male,2,N,N,7.7,6.0,8.8,5.1,6.8,Y,2024,Clear pathway to employment in my field
1000005176,Health Sciences,NZ Permanent Resident,NZ European,Male,2,N,N,8.3,8.2,7.3,3.1,7.5,Y,2024,Enjoyed the hands-on learning approach
1000005671,Arts & Social Sciences,NZ Citizen,Other,Male,1,Y,Y,5.4,6.7,3.9,7.1,5.4,Y,2024,Would appreciate more feedback on assessments
1000004098,Arts & Social Sciences,NZ Citizen,NZ European,Female,3,N,N,7.1,5.3,9.1,5.5,6.7,Y,2024,Administrative processes were confusing
1000000132,Business & Economics,NZ Citizen,Unknown/Not Stated,Female,3,N,N,7.7,5.7,7.3,5.3,6.5,Y,2024,Administrative processes were confusing
1000004329,Science & Technology,NZ Citizen,Asian,Male,1,N,N,8.9,5.2,2.2,9.4,7.5,Y,2024,Great sense of community in my programme
1000004668,Science & Technology,NZ Citizen,Other,Male,3,N,N,6.4,3.8,5.9,5.8,5.4,Y,2024,English language support was invaluable
1000003739,Arts & Social Sciences,NZ Citizen,MELAA,Female,2,N,N,5.2,7.2,7.4,3.5,6.3,Y,2024,Campus facilities are excellent
1000002022,Science & Technology,International,Asian,Male,2,N,N,9.9,7.2,5.6,7.5,6.6,Y,2024,Workload felt unmanageable at times
1000003133,Arts & Social Sciences,NZ Citizen,NZ European,Male,3,N,Y,4.4,6.6,5.8,9.8,6.7,Y,2024,Enjoyed the hands-on learning approach
1000004655,Business & Economics,NZ Citizen,Māori,Female,3,N,Y,5.8,7.6,6.5,6.6,5.4,Y,2024,Scholarship support made a real difference
1000002271,Health Sciences,NZ Citizen,NZ European,Male,1,N,Y,7.5,5.6,5.9,6.1,5.6,Y,2024,Clear pathway to employment in my field
1000001044,Arts & Social Sciences,NZ Citizen,NZ European,Female,2,N,N,7.5,5.5,1.9,7.8,5.9,Y,2024,Strong industry connections in my programme
1000003195,Arts & Social Sciences,NZ Permanent Resident,NZ European,Male,3,N,N,5.8,4.2,8.0,7.0,6.9,Y,2024,Clear pathway to employment in my field
1000000534,Business & Economics,NZ Citizen,NZ European,Male,2,N,Y,7.9,7.3,6.2,7.9,7.7,Y,2024,Cultural events helped me feel included
1000005667,Education,NZ Permanent Resident,NZ European,Male,2,N,N,6.9,6.6,5.6,7.8,7.3,Y,2024,Workload felt unmanageable at times
1000001536,Science & Technology,NZ Citizen,Pacific Peoples,Female,3,N,N,6.4,6.2,6.5,8.1,5.8,Y,2024,Workload felt unmanageable at times
1000000351,Business & Economics,NZ Citizen,Unknown/Not Stated,Female,1,N,N,6.2,3.0,4.8,4.6,4.6,Y,2024,Scholarship support made a real difference
1000006194,Arts & Social Sciences,NZ Citizen,Asian,Male,3,N,Y,8.4,5.9,4.6,6.2,6.1,Y,2024,Would benefit from more career guidance
1000005715,Business & Economics,International,Asian,Male,4,N,Y,6.0,7.6,5.7,6.3,5.9,Y,2024,Felt isolated during online delivery
1000006391,Business & Economics,NZ Permanent Resident,Māori,Male,1,N,N,7.0,4.8,3.2,5.6,4.9,Y,2024,Course content felt outdated in places
1000004409,Arts & Social Sciences,International,Asian,Male,1,N,Y,8.4,2.7,3.3,9.1,4.6,Y,2024,Campus facilities are excellent
1000002407,Science & Technology,International,MELAA,Female,1,N,N,5.4,7.6,6.4,5.9,5.8,Y,2024,Lecturers were approachable and knowledgeable
1000003307,Arts & Social Sciences,NZ Citizen,Other,Female,4,Y,N,7.9,7.6,3.6,2.0,6.4,Y,2024,Would appreciate more feedback on assessments
1000004803,Foundation Studies,NZ Citizen,NZ European,Male,2,N,N,4.6,2.3,6.7,8.1,4.6,Y,2024,Lecturers were approachable and knowledgeable
1000001268,Business & Economics,NZ Permanent Resident,Asian,Male,1,N,Y,6.8,5.3,6.5,5.7,6.7,Y,2024,Strong industry connections in my programme
1000001192,Foundation Studies,NZ Permanent Resident,NZ European,Female,3,N,N,8.5,7.1,4.8,7.9,6.9,Y,2024,Timetabling clashes made study difficult
1000004692,Arts & Social Sciences,NZ Citizen,Asian,Male,4,N,Y,8.5,7.3,7.8,7.5,7.1,Y,2024,Enjoyed the hands-on learning approach
1000002042,Science & Technology,NZ Citizen,Asian,Female,2,N,N,7.1,6.0,4.2,9.5,7.2,Y,2024,Administrative processes were confusing
1000001507,Arts & Social Sciences,NZ Permanent Resident,Pacific Peoples,Female,1,N,Y,8.7,6.7,8.6,6.7,7.3,Y,2024,Would appreciate more feedback on assessments
1000002906,Education,International,MELAA,Female,1,N,Y,5.8,7.2,5.8,8.0,5.9,Y,2024,Scholarship support made a real difference
1000004367,Business & Economics,International,Asian,Male,3,Y,N,7.0,5.0,6.0,3.9,4.3,Y,2024,English language support was invaluable
1000003803,Arts & Social Sciences,NZ Citizen,NZ European,Female,2,N,Y,6.6,7.9,8.4,8.2,7.1,Y,2024,Clear pathway to employment in my field
1000000381,Arts & Social Sciences,NZ Citizen,NZ European,Male,1,N,N,5.3,6.9,7.2,8.7,7.1,Y,2024,Workload felt unmanageable at times
1000005333,Business & Economics,International,Other,Female,2,N,N,7.1,4.7,5.5,5.9,5.4,Y,2024,English language support was invaluable
1000000080,Business & Economics,NZ Citizen,NZ European,Non-binary / Gender Diverse,1,N,N,6.6,5.7,7.1,5.5,6.4,Y,2024,Administrative processes were confusing
1000003207,Arts & Social Sciences,NZ Permanent Resident,Pacific Peoples,Female,2,N,N,7.2,4.5,5.2,4.1,4.4,Y,2024,Great sense of community in my programme
1000000472,Health Sciences,International,Asian,Female,3,N,N,7.5,7.0,5.8,1.2,6.1,Y,2024,Felt isolated during online delivery
1000003148,Business & Economics,NZ Citizen,Asian,Male,3,N,N,5.7,6.1,5.1,4.6,5.4,Y,2024,Lecturers were approachable and knowledgeable
1000005355,Foundation Studies,NZ Citizen,Māori,Male,2,N,N,8.0,8.2,5.1,6.4,6.3,Y,2024,Great sense of community in my programme
1000003826,Arts & Social Sciences,NZ Citizen,MELAA,Female,2,N,Y,7.3,10.0,8.0,5.0,7.5,Y,2024,Strong industry connections in my programme
1000001161,Education,NZ Citizen,Asian,Female,1,N,N,6.9,8.8,6.6,6.8,7.4,Y,2024,Administrative processes were confusing
1000001235,Business & Economics,NZ Citizen,Pacific Peoples,Female,1,N,Y,7.8,7.4,2.2,4.4,5.6,Y,2024,Workload felt unmanageable at times
1000001090,Business & Economics,NZ Citizen,Pacific Peoples,Female,4,N,Y,6.3,8.0,3.5,5.2,5.3,Y,2024,Lecturers were approachable and knowledgeable
1000002835,Science & Technology,International,Asian,Male,1,N,N,8.0,7.0,2.9,6.3,6.0,Y,2024,Library resources met my needs
1000003102,Arts & Social Sciences,International,MELAA,Female,1,N,Y,6.8,6.7,7.6,4.1,6.5,Y,2024,Campus facilities are excellent
1000003116,Science & Technology,International,Asian,Male,1,N,N,6.4,2.9,3.0,5.2,4.1,Y,2024,Library resources met my needs
1000000746,Arts & Social Sciences,NZ Citizen,MELAA,Female,2,N,N,6.4,8.0,5.3,4.7,6.6,Y,2024,Would appreciate more feedback on assessments
1000002927,Education,International,,Female,2,N,N,5.5,7.9,6.2,9.3,7.1,Y,2024,Would appreciate more feedback on assessments
1000004722,Health Sciences,NZ Citizen,NZ European,Female,3,N,N,7.2,5.0,6.6,4.3,5.7,Y,2024,Course content felt outdated in places
1000003194,Education,NZ Citizen,NZ European,Male,3,N,Y,8.2,8.2,5.4,8.2,7.9,Y,2024,English language support was invaluable
1000002552,Foundation Studies,NZ Citizen,Māori,Female,1,N,N,6.7,7.5,2.7,4.7,4.8,Y,2024,Lecturers were approachable and knowledgeable
1000002138,Business & Economics,International,Other,Female,3,N,N,9.9,6.4,6.9,6.4,7.6,Y,2024,Campus facilities are excellent
1000002654,Science & Technology,NZ Permanent Resident,NZ European,Female,2,N,Y,8.6,9.5,7.1,7.4,8.2,Y,2024,Cultural events helped me feel included
1000001893,Business & Economics,International,Other,Female,2,N,N,8.6,8.1,6.6,7.2,7.5,Y,2024,Scholarship support made a real difference
1000001860,Education,NZ Citizen,Māori,Female,2,N,N,7.1,7.8,1.0,1.0,5.0,Y,2024,Would appreciate more feedback on assessments
1000000625,Education,International,Asian,Female,2,N,N,8.3,5.4,4.9,5.4,5.8,Y,2024,Great sense of community in my programme
1000004511,Education,International,Asian,Female,2,N,N,8.2,9.9,6.4,6.1,7.2,Y,2024,English language support was invaluable
1000000468,Arts & Social Sciences,NZ Citizen,Asian,Female,1,N,N,6.4,5.1,8.2,6.4,6.3,Y,2024,Campus facilities are excellent
1000005091,Health Sciences,NZ Permanent Resident,Unknown/Not Stated,Female,2,N,Y,7.4,7.4,7.6,4.4,7.2,Y,2024,Timetabling clashes made study difficult
1000004108,Science & Technology,NZ Permanent Resident,NZ European,Female,1,Y,N,6.4,4.6,7.3,7.2,6.1,Y,2024,Great sense of community in my programme
1000002045,Health Sciences,International,Other,Female,2,N,N,8.5,7.6,7.3,6.9,7.4,Y,2024,Workload felt unmanageable at times
1000004937,Business & Economics,NZ Permanent Resident,Unknown/Not Stated,Male,3,Y,N,6.9,5.9,8.1,9.1,7.5,Y,2024,Lecturers were approachable and knowledgeable
1000002664,Health Sciences,NZ Permanent Resident,NZ European,Female,3,N,N,7.3,7.6,7.9,6.5,7.4,Y,2024,Strong industry connections in my programme
1000004295,Foundation Studies,NZ Citizen,NZ European,Female,3,N,N,7.2,5.2,5.2,5.5,5.6,Y,2024,Would benefit from more career guidance
1000005223,Arts & Social Sciences,International,Asian,Female,1,N,Y,7.3,7.4,5.4,7.0,6.1,Y,2024,Timetabling clashes made study difficult
1000001963,Business & Economics,NZ Permanent Resident,Māori,Male,3,N,N,5.0,5.0,4.3,5.8,5.0,Y,2024,Great sense of community in my programme
1000006155,Arts & Social Sciences,NZ Citizen,NZ European,Male,3,N,N,7.3,6.8,7.2,7.5,6.3,Y,2024,Workload felt unmanageable at times
1000000957,Business & Economics,NZ Citizen,NZ European,Male,2,N,N,6.8,3.2,6.6,6.3,6.0,Y,2024,Would appreciate more feedback on assessments
1000005627,Business & Economics,NZ Citizen,Māori,Female,2,Y,N,9.0,7.0,5.3,5.3,6.1,Y,2024,Workload felt unmanageable at times
1000006442,Arts & Social Sciences,NZ Citizen,NZ European,Male,2,N,N,7.9,7.4,4.8,8.2,7.4,Y,2024,Cultural events helped me feel included
1000000198,Arts & Social Sciences,International,Other,Male,3,N,N,6.9,5.1,4.4,7.3,5.5,Y,2024,Support services were very helpful
1000005422,Arts & Social Sciences,NZ Citizen,NZ European,Male,2,N,N,5.1,6.0,6.7,10.0,5.9,Y,2024,Timetabling clashes made study difficult
1000005809,Education,NZ Citizen,Pacific Peoples,Male,3,N,N,9.7,7.5,6.8,7.1,8.3,Y,2024,Administrative processes were confusing
1000004392,Arts & Social Sciences,NZ Citizen,Asian,Female,1,N,Y,6.2,8.1,5.3,6.2,6.6,Y,2024,Would benefit from more career guidance
1000004168,Science & Technology,NZ Citizen,NZ European,Female,4,N,N,9.0,6.8,6.1,4.2,7.0,Y,2024,Support services were very helpful
1000005845,Business & Economics,NZ Citizen,Pacific Peoples,Female,3,N,Y,5.1,5.2,6.4,10.0,5.4,Y,2024,Would appreciate more feedback on assessments
1000002417,Business & Economics,NZ Citizen,Māori,Male,3,N,N,7.1,7.4,5.9,5.5,5.8,Y,2024,Felt isolated during online delivery
1000001544,Arts & Social Sciences,NZ Citizen,Unknown/Not Stated,Female,3,N,Y,7.7,5.9,5.4,6.3,6.3,Y,2024,Course content felt outdated in places
1000002177,Business & Economics,International,MELAA,Male,1,N,Y,6.4,8.7,8.9,8.1,7.5,Y,2024,Enjoyed the hands-on learning approach
1000002868,Education,International,Asian,Female,2,N,N,8.4,8.1,4.0,3.7,6.6,Y,2024,Would appreciate more feedback on assessments
1000000247,Business & Economics,NZ Citizen,NZ European,Male,1,N,Y,8.5,9.1,6.0,4.1,7.3,Y,2024,Timetabling clashes made study difficult
1000000088,Business & Economics,International,Asian,Male,1,N,N,7.4,8.5,5.4,4.4,6.6,Y,2024,Enjoyed the hands-on learning approach
1000000156,Business & Economics,International,Unknown/Not Stated,Female,4,Y,N,6.3,6.3,5.7,9.7,5.3,Y,2024,Cultural events helped me feel included
1000003411,Arts & Social Sciences,International,MELAA,Female,3,N,N,5.5,5.9,5.0,6.0,5.0,Y,2024,Clear pathway to employment in my field
1000003931,Arts & Social Sciences,International,Other,Female,2,N,Y,6.9,6.2,6.1,1.9,5.2,Y,2024,Administrative processes were confusing
1000002312,Arts & Social Sciences,NZ Citizen,NZ European,Male,4,N,N,7.8,7.1,5.8,8.2,7.6,Y,2024,Would appreciate more feedback on assessments
1000001575,Business & Economics,NZ Citizen,Asian,Male,2,N,Y,7.6,8.2,7.0,5.2,7.2,Y,2024,Felt isolated during online delivery
1000004677,Arts & Social Sciences,International,Asian,Female,1,N,Y,6.8,8.7,1.8,4.0,4.6,Y,2024,Support services were very helpful
1000003630,Science & Technology,NZ Citizen,NZ European,Female,1,N,N,5.6,5.5,10.0,9.7,6.9,Y,2024,Clear pathway to employment in my field
1000003718,Education,International,Asian,Male,2,N,N,7.1,5.5,2.8,4.4,4.1,Y,2024,Support services were very helpful
1000002306,Business & Economics,NZ Citizen,Asian,Male,3,N,N,6.2,6.9,7.2,7.1,6.2,Y,2024,Strong industry connections in my programme
1000005556,Arts & Social Sciences,NZ Citizen,NZ European,Male,1,N,N,8.0,5.0,7.6,6.3,6.2,Y,2024,Course content felt outdated in places
1000000755,Foundation Studies,NZ Citizen,MELAA,Female,2,N,N,5.6,5.9,7.6,6.0,6.2,Y,2024,Course content felt outdated in places
